date,dip_atr_mult,rr_ratio,result,pnl_R,cum_R,sub_session,study
2020-09-23,2.0,3.0,win,3.0,7.0,Pre-market,Study2_Rally_Selloff_Dip
2020-09-29,2.0,3.0,win,3.0,10.0,European,Study2_Rally_Selloff_Dip
2020-11-09,2.0,3.0,open,0.0,10.0,European,Study2_Rally_Selloff_Dip
2020-12-09,2.0,3.0,win,3.0,13.0,Pre-market,Study2_Rally_Selloff_Dip
2021-01-27,2.0,3.0,win,3.0,16.0,Asian,Study2_Rally_Selloff_Dip
2021-01-28,2.0,3.0,loss,-1.0,15.0,Asian,Study2_Rally_Selloff_Dip
2021-02-16,2.0,3.0,loss,-1.0,14.0,Pre-market,Study2_Rally_Selloff_Dip
2021-02-17,2.0,3.0,loss,-1.0,13.0,European,Study2_Rally_Selloff_Dip
2021-02-22,2.0,3.0,loss,-1.0,12.0,European,Study2_Rally_Selloff_Dip
2021-03-02,2.0,3.0,loss,-1.0,11.0,Pre-market,Study2_Rally_Selloff_Dip
2021-03-16,2.0,3.0,win,3.0,14.0,Pre-market,Study2_Rally_Selloff_Dip
2021-04-27,2.0,3.0,win,3.0,17.0,Pre-market,Study2_Rally_Selloff_Dip
2021-04-29,2.0,3.0,open,0.0,17.0,European,Study2_Rally_Selloff_Dip
2021-05-10,2.0,3.0,loss,-1.0,16.0,Asian,Study2_Rally_Selloff_Dip
2021-05-18,2.0,3.0,loss,-1.0,15.0,European,Study2_Rally_Selloff_Dip
2021-06-09,2.0,3.0,win,3.0,18.0,Pre-market,Study2_Rally_Selloff_Dip
2021-06-16,2.0,3.0,win,3.0,21.0,Asian,Study2_Rally_Selloff_Dip
2021-07-07,2.0,3.0,loss,-1.0,20.0,European,Study2_Rally_Selloff_Dip
2021-08-18,2.0,3.0,win,3.0,23.0,European,Study2_Rally_Selloff_Dip
2021-09-27,2.0,3.0,loss,-1.0,22.0,European,Study2_Rally_Selloff_Dip
2021-11-09,2.0,3.0,loss,-1.0,21.0,Pre-market,Study2_Rally_Selloff_Dip
2021-11-23,2.0,3.0,win,3.0,24.0,Pre-market,Study2_Rally_Selloff_Dip
2021-12-13,2.0,3.0,loss,-1.0,23.0,Pre-market,Study2_Rally_Selloff_Dip
2021-12-16,2.0,3.0,win,3.0,26.0,Pre-market,Study2_Rally_Selloff_Dip
2022-01-04,2.0,3.0,loss,-1.0,25.0,Pre-market,Study2_Rally_Selloff_Dip
2022-02-02,2.0,3.0,loss,-1.0,24.0,Asian,Study2_Rally_Selloff_Dip
2022-03-03,2.0,3.0,loss,-1.0,23.0,Asian,Study2_Rally_Selloff_Dip
2022-03-07,2.0,3.0,win,3.0,26.0,European,Study2_Rally_Selloff_Dip
2022-04-05,2.0,3.0,loss,-1.0,25.0,European,Study2_Rally_Selloff_Dip
2022-05-05,2.0,3.0,win,3.0,28.0,Pre-market,Study2_Rally_Selloff_Dip
2022-05-18,2.0,3.0,win,3.0,31.0,European,Study2_Rally_Selloff_Dip
2022-05-30,2.0,3.0,loss,-1.0,30.0,Asian,Study2_Rally_Selloff_Dip
2022-06-06,2.0,3.0,win,3.0,33.0,Pre-market,Study2_Rally_Selloff_Dip
2022-06-09,2.0,3.0,loss,-1.0,32.0,Pre-market,Study2_Rally_Selloff_Dip
2022-07-04,2.0,3.0,loss,-1.0,31.0,Pre-market,Study2_Rally_Selloff_Dip
2022-07-12,2.0,3.0,win,3.0,34.0,Pre-market,Study2_Rally_Selloff_Dip
2022-07-25,2.0,3.0,loss,-1.0,33.0,Pre-market,Study2_Rally_Selloff_Dip
2022-08-08,2.0,3.0,win,3.0,36.0,Pre-market,Study2_Rally_Selloff_Dip
2022-08-31,2.0,3.0,loss,-1.0,35.0,Asian,Study2_Rally_Selloff_Dip
2022-09-15,2.0,3.0,open,0.0,35.0,Pre-market,Study2_Rally_Selloff_Dip
2022-09-22,2.0,3.0,loss,-1.0,34.0,European,Study2_Rally_Selloff_Dip
2022-09-27,2.0,3.0,win,3.0,37.0,European,Study2_Rally_Selloff_Dip
2022-10-06,2.0,3.0,loss,-1.0,36.0,Pre-market,Study2_Rally_Selloff_Dip
2022-10-12,2.0,3.0,win,3.0,39.0,Pre-market,Study2_Rally_Selloff_Dip
2022-10-26,2.0,3.0,loss,-1.0,38.0,Pre-market,Study2_Rally_Selloff_Dip
2022-10-27,2.0,3.0,win,3.0,41.0,Asian,Study2_Rally_Selloff_Dip
2022-11-16,2.0,3.0,win,3.0,44.0,Pre-market,Study2_Rally_Selloff_Dip
2022-12-01,2.0,3.0,win,3.0,47.0,Pre-market,Study2_Rally_Selloff_Dip
2022-12-06,2.0,3.0,open,0.0,47.0,Pre-market,Study2_Rally_Selloff_Dip
2022-12-15,2.0,3.0,win,3.0,50.0,European,Study2_Rally_Selloff_Dip
2022-12-19,2.0,3.0,win,3.0,53.0,Asian,Study2_Rally_Selloff_Dip
2023-01-18,2.0,3.0,open,0.0,53.0,Pre-market,Study2_Rally_Selloff_Dip
2023-02-09,2.0,3.0,open,0.0,53.0,European,Study2_Rally_Selloff_Dip
2023-02-16,2.0,3.0,open,0.0,53.0,Pre-market,Study2_Rally_Selloff_Dip
2023-03-01,2.0,3.0,win,3.0,56.0,Asian,Study2_Rally_Selloff_Dip
2023-03-09,2.0,3.0,win,3.0,59.0,Pre-market,Study2_Rally_Selloff_Dip
2023-04-04,2.0,3.0,loss,-1.0,58.0,Pre-market,Study2_Rally_Selloff_Dip
2023-04-05,2.0,3.0,win,3.0,61.0,European,Study2_Rally_Selloff_Dip
2023-04-18,2.0,3.0,win,3.0,64.0,European,Study2_Rally_Selloff_Dip
2023-04-24,2.0,3.0,loss,-1.0,63.0,European,Study2_Rally_Selloff_Dip
2023-05-09,2.0,3.0,win,3.0,66.0,European,Study2_Rally_Selloff_Dip
2023-05-23,2.0,3.0,loss,-1.0,65.0,Pre-market,Study2_Rally_Selloff_Dip
2023-06-19,2.0,3.0,win,3.0,68.0,European,Study2_Rally_Selloff_Dip
2023-07-19,2.0,3.0,loss,-1.0,67.0,Asian,Study2_Rally_Selloff_Dip
2023-08-02,2.0,3.0,win,3.0,70.0,European,Study2_Rally_Selloff_Dip
2023-08-17,2.0,3.0,win,3.0,73.0,Pre-market,Study2_Rally_Selloff_Dip
2023-09-06,2.0,3.0,loss,-1.0,72.0,European,Study2_Rally_Selloff_Dip
2023-09-12,2.0,3.0,win,3.0,75.0,Pre-market,Study2_Rally_Selloff_Dip
2023-09-20,2.0,3.0,loss,-1.0,74.0,European,Study2_Rally_Selloff_Dip
2023-09-22,2.0,3.0,win,3.0,77.0,Asian,Study2_Rally_Selloff_Dip
2023-09-29,2.0,3.0,win,3.0,80.0,Asian,Study2_Rally_Selloff_Dip
2023-10-05,2.0,3.0,win,3.0,83.0,Pre-market,Study2_Rally_Selloff_Dip
2023-10-13,2.0,3.0,win,3.0,86.0,European,Study2_Rally_Selloff_Dip
2023-10-25,2.0,3.0,loss,-1.0,85.0,Asian,Study2_Rally_Selloff_Dip
2023-10-27,2.0,3.0,win,3.0,88.0,Asian,Study2_Rally_Selloff_Dip
2023-11-21,2.0,3.0,win,3.0,91.0,Asian,Study2_Rally_Selloff_Dip
2023-12-29,2.0,3.0,win,3.0,94.0,Asian,Study2_Rally_Selloff_Dip
2024-01-02,2.0,3.0,loss,-1.0,93.0,Pre-market,Study2_Rally_Selloff_Dip
2024-01-04,2.0,3.0,win,3.0,96.0,Pre-market,Study2_Rally_Selloff_Dip
2024-01-25,2.0,3.0,loss,-1.0,95.0,Asian,Study2_Rally_Selloff_Dip
2024-01-26,2.0,3.0,win,3.0,98.0,Asian,Study2_Rally_Selloff_Dip
2024-01-30,2.0,3.0,loss,-1.0,97.0,Asian,Study2_Rally_Selloff_Dip
2024-02-20,2.0,3.0,loss,-1.0,96.0,Pre-market,Study2_Rally_Selloff_Dip
2024-03-04,2.0,3.0,loss,-1.0,95.0,European,Study2_Rally_Selloff_Dip
2024-03-14,2.0,3.0,win,3.0,98.0,Pre-market,Study2_Rally_Selloff_Dip
2024-03-18,2.0,3.0,win,3.0,101.0,Pre-market,Study2_Rally_Selloff_Dip
2024-04-12,2.0,3.0,win,3.0,104.0,Asian,Study2_Rally_Selloff_Dip
2024-04-18,2.0,3.0,win,3.0,107.0,Asian,Study2_Rally_Selloff_Dip
2024-04-24,2.0,3.0,loss,-1.0,106.0,Asian,Study2_Rally_Selloff_Dip
2024-04-30,2.0,3.0,win,3.0,109.0,European,Study2_Rally_Selloff_Dip
2024-05-29,2.0,3.0,loss,-1.0,108.0,Asian,Study2_Rally_Selloff_Dip
2024-05-30,2.0,3.0,win,3.0,111.0,European,Study2_Rally_Selloff_Dip
2024-06-07,2.0,3.0,win,3.0,114.0,European,Study2_Rally_Selloff_Dip
2024-07-23,2.0,3.0,loss,-1.0,113.0,European,Study2_Rally_Selloff_Dip
2024-07-24,2.0,3.0,loss,-1.0,112.0,Pre-market,Study2_Rally_Selloff_Dip
2024-07-30,2.0,3.0,win,3.0,115.0,Asian,Study2_Rally_Selloff_Dip
2024-08-01,2.0,3.0,loss,-1.0,114.0,Asian,Study2_Rally_Selloff_Dip
2024-08-28,2.0,3.0,win,3.0,117.0,Asian,Study2_Rally_Selloff_Dip
2024-09-06,2.0,3.0,win,3.0,120.0,Asian,Study2_Rally_Selloff_Dip
2024-10-30,2.0,3.0,loss,-1.0,119.0,Asian,Study2_Rally_Selloff_Dip
2024-11-14,2.0,3.0,loss,-1.0,118.0,European,Study2_Rally_Selloff_Dip
2024-12-19,2.0,3.0,win,3.0,121.0,European,Study2_Rally_Selloff_Dip
2024-12-27,2.0,3.0,win,3.0,124.0,European,Study2_Rally_Selloff_Dip
2025-02-07,2.0,3.0,win,3.0,127.0,Asian,Study2_Rally_Selloff_Dip
2025-02-24,2.0,3.0,loss,-1.0,126.0,Pre-market,Study2_Rally_Selloff_Dip
2025-03-10,2.0,3.0,win,3.0,129.0,Asian,Study2_Rally_Selloff_Dip
2025-03-20,2.0,3.0,loss,-1.0,128.0,Pre-market,Study2_Rally_Selloff_Dip
2025-03-26,2.0,3.0,win,3.0,131.0,Pre-market,Study2_Rally_Selloff_Dip
2025-04-03,2.0,3.0,loss,-1.0,130.0,European,Study2_Rally_Selloff_Dip
2025-04-15,2.0,3.0,loss,-1.0,129.0,Asian,Study2_Rally_Selloff_Dip
2025-05-05,2.0,3.0,loss,-1.0,128.0,Asian,Study2_Rally_Selloff_Dip
2025-05-20,2.0,3.0,win,3.0,131.0,European,Study2_Rally_Selloff_Dip
2025-05-22,2.0,3.0,win,3.0,134.0,Pre-market,Study2_Rally_Selloff_Dip
2025-06-18,2.0,3.0,loss,-1.0,133.0,Pre-market,Study2_Rally_Selloff_Dip
2025-07-04,2.0,3.0,win,3.0,136.0,Asian,Study2_Rally_Selloff_Dip
2025-07-31,2.0,3.0,loss,-1.0,135.0,European,Study2_Rally_Selloff_Dip
2025-08-13,2.0,3.0,win,3.0,138.0,Pre-market,Study2_Rally_Selloff_Dip
2025-08-19,2.0,3.0,loss,-1.0,137.0,Pre-market,Study2_Rally_Selloff_Dip
2025-08-29,2.0,3.0,win,3.0,140.0,Asian,Study2_Rally_Selloff_Dip
2025-09-05,2.0,3.0,win,3.0,143.0,European,Study2_Rally_Selloff_Dip
2025-09-24,2.0,3.0,loss,-1.0,142.0,Pre-market,Study2_Rally_Selloff_Dip
2025-10-03,2.0,3.0,win,3.0,145.0,European,Study2_Rally_Selloff_Dip
2025-10-10,2.0,3.0,win,3.0,148.0,European,Study2_Rally_Selloff_Dip
2025-10-16,2.0,3.0,win,3.0,151.0,European,Study2_Rally_Selloff_Dip
2025-10-31,2.0,3.0,win,3.0,154.0,European,Study2_Rally_Selloff_Dip
2025-11-04,2.0,3.0,win,3.0,157.0,Asian,Study2_Rally_Selloff_Dip
2025-11-06,2.0,3.0,loss,-1.0,156.0,Pre-market,Study2_Rally_Selloff_Dip
2025-11-07,2.0,3.0,win,3.0,159.0,Asian,Study2_Rally_Selloff_Dip
2025-11-12,2.0,3.0,loss,-1.0,158.0,Pre-market,Study2_Rally_Selloff_Dip
2025-11-13,2.0,3.0,loss,-1.0,157.0,European,Study2_Rally_Selloff_Dip
2025-11-17,2.0,3.0,open,0.0,157.0,Pre-market,Study2_Rally_Selloff_Dip
2025-12-15,2.0,3.0,win,3.0,160.0,Asian,Study2_Rally_Selloff_Dip
2026-01-13,2.0,3.0,loss,-1.0,159.0,European,Study2_Rally_Selloff_Dip
2026-01-19,2.0,3.0,loss,-1.0,158.0,European,Study2_Rally_Selloff_Dip
2026-01-28,2.0,3.0,win,3.0,161.0,Asian,Study2_Rally_Selloff_Dip
2026-01-29,2.0,3.0,loss,-1.0,160.0,European,Study2_Rally_Selloff_Dip
2026-02-04,2.0,3.0,loss,-1.0,159.0,Pre-market,Study2_Rally_Selloff_Dip
2026-02-05,2.0,3.0,win,3.0,162.0,Asian,Study2_Rally_Selloff_Dip
2026-02-16,2.0,3.0,loss,-1.0,161.0,Asian,Study2_Rally_Selloff_Dip
2026-02-26,2.0,3.0,loss,-1.0,160.0,Pre-market,Study2_Rally_Selloff_Dip
2026-03-05,2.0,3.0,loss,-1.0,159.0,Pre-market,Study2_Rally_Selloff_Dip
2026-03-11,2.0,3.0,loss,-1.0,158.0,Asian,Study2_Rally_Selloff_Dip
2026-03-18,2.0,3.0,win,3.0,161.0,Pre-market,Study2_Rally_Selloff_Dip
2026-03-25,2.0,3.0,loss,-1.0,160.0,European,Study2_Rally_Selloff_Dip
2026-03-26,2.0,3.0,loss,-1.0,159.0,Pre-market,Study2_Rally_Selloff_Dip
2026-05-27,2.0,3.0,win,3.0,162.0,Asian,Study2_Rally_Selloff_Dip
